project_id;track_id;section_id;segment_id;point_id;section_duration;section_speed;section_warning;gnss_accuracy;section_weather;timestamp;lon_ontrack;lat_ontrack;lon_rtk;lat_rtk;tair_thermohygro;tair_tc1;tair_tc2;tair_anemo;rh_thermohygro;ws;wdir;sw_up;sw_down;sw_front;sw_back;sw_left;sw_right;lw_up;lw_down;lw_front;lw_back;lw_left;lw_right
picopatt_montpellier;antigone;1;1;1;29;0.59605034723672;;14;sun;2025-06-26 12:30:19.00005;3.88634517788887;43.6083054814924;3.8863742;43.608291;32.0603494316014;32.765625;32.9140625;35;37.2326237888151;0.9259992;41;817.452874118432;121.746104686988;393.524893167602;115.399946618074;106.362440390878;377.557630724624;422.015901681001;599.585828200324;522.655801367885;527.146447755718;535.131553751827;521.044363164671
;;1;1;2;;;;14;;2025-06-26 12:30:20.000031;3.88635253084117;43.6083049122526;3.8863709;43.6082913;32.0603494316014;32.8125;32.9609375;35;37.2326237888151;0.8231104;41;817.730073658237;122.554474658307;387.408355105919;115.236893324482;106.709683860503;384.030243877202;422.348829710639;598.818739290862;523.215103873317;527.928677436366;535.607380910066;519.681161473233
;;1;1;3;;;;14;;2025-06-26 12:30:21.000064;3.88635988379347;43.6083043430127;3.8863744;43.6082908;32.0977340352483;32.8515625;32.9453125;35;37.1963836118105;1.2346656;33;819.004248977214;119.986634193258;407.220924582592;113.373362228079;107.392399834681;354.621417119672;422.602827825086;600.250394863435;520.989638591052;527.423688538369;532.301800491111;524.057463025584
;;1;1;4;;;;14;;2025-06-26 12:30:22.001665;3.88636723674577;43.6083037737729;3.8863797;43.6082907;32.0977340352483;32.8515625;33.0078125;35;37.1963836118105;1.4404432;19;814.339413444926;117.340226452378;368.622659280617;114.953934544794;100.679166219135;404.618912770619;421.827823418642;601.113017518777;521.56107144207;524.302674848961;537.085369947031;520.619035472291
;;1;1;5;;;;14;;2025-06-26 12:30:23.000091;3.88637458969807;43.608303204533;3.8863895;43.6082902;32.1190966659037;32.921875;33.1171875;35;37.2021057450217;1.6976652;12;817.350905817855;116.940406315375;382.06493062555;112.488150893229;101.506496907055;388.060686118685;421.247882083468;599.963282963466;522.555371097772;524.981916414065;530.169322509125;522.236417016321
;;1;1;6;;;;14;;2025-06-26 12:30:24.000032;3.88638194265037;43.6083026352932;3.8863895;43.6082902;32.1190966659037;32.921875;33.171875;35;37.2021057450217;1.8519984;12;816.515022816065;118.413979222057;393.543300633824;110.111842168789;102.226207342888;378.885566816994;420.620246115409;599.977346369542;522.100416942291;523.699981582278;534.801538133818;521.502160804579
;;1;1;7;;;;14;;2025-06-26 12:30:25.000188;3.88638929560267;43.6083020660533;3.8863951;43.6082897;32.1137560082399;32.9609375;33.171875;35;37.1887541008621;1.9548872;14;813.797439074211;118.542742257445;390.863261206539;108.769264074476;101.316479899464;385.359990997313;420.085715639487;599.117247582124;522.008961374725;523.461987770787;536.1353592641;519.74507184049
;;1;1;8;;;;14;;2025-06-26 12:30:26.000003;3.88639664855497;43.6083014968135;3.8864011;43.6082891;32.1137560082399;32.9609375;33.171875;35;37.1887541008621;2.314998;22;815.601592493247;118.673687717162;388.916452517087;108.681151709694;100.867501660288;383.539908115853;419.725508216316;597.36969269559;521.747052009485;523.639454378865;535.47796989685;519.141058925406
;;1;1;9;;;;14;;2025-06-26 12:30:27.000018;3.88640400150727;43.6083009275737;3.8864063;43.6082886;32.0977340352483;32.96875;33.140625;35;37.0914778362707;2.2635536;28;816.902759421201;117.92380671785;391.353250426441;108.503564417787;101.30765167566;375.312409080554;419.313533312096;595.697056768381;521.542572276703;523.454720483061;534.102824488428;519.639362701278
;;1;1;10;;;;14;;2025-06-26 12:30:28.000048;3.88641135445957;43.6083003583338;3.8864124;43.6082879;32.0977340352483;32.8984375;32.96875;35;37.0914778362707;2.4178868;28;817.481151042122;117.422285607134;386.737359134836;109.059489853321;101.051212793733;376.683809838749;418.46368318621;593.438418074503;520.913814350012;522.101803734479;532.524584379712;519.748001197064
;;1;1;11;;;;14;;2025-06-26 12:30:29.000068;3.88641870741186;43.608299789094;3.8864181;43.6082873;32.0870527199206;32.859375;32.8828125;35;36.9980163271534;2.2635536;18;817.901448953324;116.365555747218;391.839733462302;107.662863452776;101.509019256713;370.711945857042;418.28513141335;590.875007419681;520.395046361888;521.76724914935;530.82680608319;520.470130873461
;;1;1;12;;;;14;;2025-06-26 12:30:30.00154;3.88642606036416;43.6082992198541;3.8864248;43.608287;32.0870527199206;32.875;32.8046875;35;36.9980163271534;2.1606648;18;811.643680053196;113.327184596918;381.08539045875;107.599731397597;99.8345994752168;392.318412341882;418.340942260866;589.634648190274;520.574559254827;521.417311660885;532.105370597925;518.622022122341
;;1;1;13;;;;14;;2025-06-26 12:30:31.000046;3.88643341331646;43.6082986506143;3.8864375;43.6082864;32.0923933775845;32.875;32.8046875;35;36.9255359731441;1.4918876;13;810.944897287476;112.646704691256;380.259245843797;106.661834318857;99.4482595858884;396.039168839356;418.360372690572;591.20132248257;521.057054579478;520.012999183468;532.377953434554;516.617550515547
